DATE,STOCK,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,VOLUME,RETURN,VOLATILITY_7D,PRICE_CHANGE,MA_7,MA_30,TREND,MOMENTUM
2026-01-01,00DS30,1853.53914,1872.46,1854.83417,1869.42403,3681599000,,,15.884889999999814,,,False,
2026-01-01,00DSES,1000.7151,1009.86932,1001.34793,1006.00444,3681599000,,,5.289340000000038,,,False,
2026-01-01,00DSEX,4865.33685,4916.03253,4869.60121,4910.61355,3681599000,,,45.276700000000346,,,False,
2026-01-01,00DSMEX,855.92825,884.69478,856.3039,876.61131,32508000,,,20.683059999999955,,,False,
2026-01-01,1JANATAMF,2.6,2.6,2.5,2.5,506291,,,-0.10000000000000009,,,False,
2026-01-01,1STPRIMFMF,20.0,20.0,19.4,19.6,393750,,,-0.3999999999999986,,,False,
2026-01-01,AAMRANET,17.8,18.5,17.8,18.3,128882,,,0.5,,,False,
2026-01-01,AAMRATECH,12.3,12.3,11.8,12.2,153978,,,-0.10000000000000142,,,False,
2026-01-01,ABB1STMF,2.7,2.7,2.6,2.6,551000,,,-0.10000000000000009,,,False,
2026-01-01,ABBANK,4.1,4.2,4.1,4.1,306310,,,0.0,,,False,
2026-01-01,ACFL,18.0,18.3,18.0,18.0,24990,,,0.0,,,False,
2026-01-01,ACHIASF,41.1,41.1,41.1,41.1,160,,,0.0,,,False,
2026-01-01,ACI,195.0,197.9,194.6,195.4,73980,,,0.4000000000000057,,,False,
2026-01-01,ACIFORMULA,129.0,130.6,129.0,130.5,8986,,,1.5,,,False,
2026-01-01,ACMELAB,71.3,72.3,70.7,72.0,86669,,,0.7000000000000028,,,False,
2026-01-01,ACMEPL,15.9,16.3,15.9,16.1,1457021,,,0.20000000000000107,,,False,
2026-01-01,ACTIVEFINE,5.4,5.7,5.4,5.6,32125,,,0.1999999999999993,,,False,
2026-01-01,ADNTEL,57.9,58.8,57.5,57.8,162016,,,-0.10000000000000142,,,False,
2026-01-01,ADVENT,13.4,13.6,13.4,13.4,50491,,,0.0,,,False,
2026-01-01,AFCAGRO,5.0,5.3,5.0,5.2,52037,,,0.20000000000000018,,,False,
2026-01-01,AFTABAUTO,34.2,34.5,33.8,33.9,604170,,,-0.30000000000000426,,,False,
2026-01-01,AGNISYSL,20.8,20.9,20.6,20.7,261622,,,-0.10000000000000142,,,False,
2026-01-01,AGRANINS,23.8,23.8,21.9,22.1,5914,,,-1.6999999999999993,,,False,
2026-01-01,AIBL1STIMF,3.4,3.5,3.4,3.4,26051,,,0.0,,,False,
2026-01-01,AIL,40.7,41.4,40.7,41.1,202886,,,0.3999999999999986,,,False,
2026-01-01,AL-HAJTEX,137.2,141.7,136.1,137.7,244158,,,0.5,,,False,
2026-01-01,ALARABANK,15.0,15.3,14.6,14.9,7537,,,-0.09999999999999964,,,False,
2026-01-01,ALIF,4.0,4.2,4.0,4.2,163580,,,0.20000000000000018,,,False,
2026-01-01,ALLTEX,13.4,13.8,13.4,13.7,65696,,,0.29999999999999893,,,False,
2026-01-01,AMANFEED,23.0,23.4,22.9,23.3,90573,,,0.3000000000000007,,,False,
2026-01-01,AMBEEPHA,720.0,720.0,712.0,718.7,115,,,-1.2999999999999545,,,False,
2026-01-01,AMCL(PRAN),202.3,208.5,202.3,204.0,475,,,1.6999999999999886,,,False,
2026-01-01,AMPL,30.0,30.0,28.0,28.0,43631,,,-2.0,,,False,
2026-01-01,ANLIMAYARN,20.8,20.8,19.0,19.1,7284,,,-1.6999999999999993,,,False,
2026-01-01,ANWARGALV,86.6,87.8,85.1,87.0,432549,,,0.4000000000000057,,,False,
2026-01-01,AOL,15.2,15.2,14.4,14.5,47528,,,-0.6999999999999993,,,False,
2026-01-01,AOPLC,10.0,10.7,10.0,10.6,208287,,,0.5999999999999996,,,False,
2026-01-01,APEXFOODS,245.8,253.0,242.0,249.5,66099,,,3.6999999999999886,,,False,
2026-01-01,APEXFOOT,179.3,179.7,178.0,178.5,95598,,,-0.8000000000000114,,,False,
2026-01-01,APEXSPINN,180.0,195.2,178.2,193.2,248294,,,13.199999999999989,,,False,
